Date,Close
0,320.88
1,299.25
2,314.68
3,307.91
4,316.72
5,337.63
6,333.36
7,330.92
8,332.39
9,347.61
10,354.39
11,366.73
12,360.40
13,380.65
14,410.17
15,474.91
16,466.28
17,471.33
18,480.36
19,472.90
20,427.52
21,447.11
22,466.54
23,463.45
24,465.85
25,470.20
26,463.28
27,428.59
28,434.41
29,456.03
30,473.50
31,441.72
32,515.14
33,651.43
34,702.77
35,695.82
36,684.45
37,696.21
38,719.97
39,794.65
40,826.82
41,819.09
42,821.06
43,674.86
44,719.39
45,694.15
46,765.83
47,773.84
48,762.84
49,737.02
50,753.59
51,717.26
52,756.73
53,772.64
54,884.44
55,962.72
56,980.92
57,997.72
58,1041.68
59,1153.17
60,1148.53
61,1299.74
62,1255.82
63,1154.93
64,1273.20
65,1396.42
66,1366.77
67,1291.92
68,1053.69
69,1014.25
70,1036.28
71,1039.10
72,1155.15
73,1049.58
74,1003.26
75,986.23
76,1058.78
77,1056.03
78,1055.17
79,1107.07
80,1246.01
81,1182.36
82,1071.13
83,1118.31
84,1036.79
85,915.78
86,964.02
87,834.68
88,697.95
89,793.12
90,757.07
91,817.81
92,883.86
93,860.41
94,814.66
95,868.71
96,845.26
97,923.56
98,936.98
99,944.21
100,974.11
101,923.92
102,943.86
103,895.37
104,849.97
105,812.84
106,864.19
107,840.52
108,844.81
109,869.32
110,878.27
111,855.20
112,872.20
113,856.85
114,857.22
115,866.68
116,853.68
117,816.95
118,752.83
119,704.60
120,728.92
121,686.89
122,723.34
123,699.83
124,690.83
125,614.29
126,611.30
127,601.67
128,552.78
129,538.64
130,556.73
131,557.17
132,561.73
133,539.70
134,539.62
135,526.44
136,524.29
137,489.95
138,450.12
139,446.28
140,385.97
141,394.64
142,396.46
143,379.61
144,386.42
145,416.89
146,380.54
147,383.23
148,370.29
149,385.31
150,400.51
151,398.53
152,414.24
153,430.54
154,492.94
155,492.73
156,501.48
157,531.70
158,511.15
159,502.89
160,524.79
161,567.89
162,615.72
163,605.40
164,621.86
165,642.55
166,708.16
167,615.42
168,662.81
169,647.03
170,683.68
171,688.88
172,669.92
173,673.61
174,687.15
175,779.54
176,785.62
177,816.12
178,792.31
179,753.72
180,752.86
181,752.28
182,727.28
183,679.59
184,686.05
185,733.50
186,730.55
187,708.87
188,707.05
189,672.66
190,694.37
191,696.53
192,715.37
193,699.22
194,647.74
195,583.59
196,601.76
197,586.73
198,587.28
199,572.67
200,516.04
201,565.39
202,559.59
203,577.65
204,580.04
205,591.81
206,618.33
207,592.98
208,609.30
209,607.12
210,605.19
211,601.08
212,597.56
213,526.48
214,533.28
215,496.84
216,477.49
217,519.74
218,491.00
219,499.64
220,500.45
221,518.89
222,537.96
223,536.27
224,527.37
225,465.82
226,474.52
227,457.67
228,460.31
229,432.77
230,442.36
231,422.36
232,436.01
233,455.18
234,453.92
235,475.35
236,464.20
237,467.32
238,474.41
239,474.01
240,491.66
241,489.12
242,476.68
243,434.42
244,446.52
245,430.07
246,434.03
247,436.09
248,449.85
249,480.66
250,501.00
251,480.51
252,469.62
253,450.70
254,462.44
255,459.66
256,450.85
257,479.37
258,472.49
259,464.04
260,469.67
261,466.90
262,466.67
263,457.08
264,433.87
265,420.75
266,412.62
267,418.26
268,407.25
269,410.52
270,406.66
271,380.21
272,356.61
273,365.59
274,334.18
275,322.11
276,319.57
277,286.49
278,278.93
279,282.36
280,288.05
281,315.73
282,295.81
283,300.83
284,274.32
285,281.94
286,271.34
287,277.10
288,282.97
289,279.65
290,275.20
291,285.60
292,296.50
293,289.31
294,284.11
295,283.00
296,295.34
297,294.37
298,289.26
299,285.72
300,232.33
301,230.21
302,217.20
303,197.95
304,196.92
305,197.08
306,185.07
307,183.33
308,211.35
309,211.75
310,223.07
311,220.59
312,197.88
313,209.98
314,209.97
315,224.59
316,246.58
317,240.48
318,244.33
319,228.73
320,218.51
321,215.85
322,228.49
323,222.40
324,231.63
325,232.85
326,230.77
327,227.18
328,220.49
329,222.22
330,227.60
331,225.12
332,226.12
333,229.26
334,227.98
335,225.77
336,189.50
337,196.73
338,199.84
339,195.71
340,209.70
341,210.12
342,207.08
343,203.35
344,203.73
345,205.43
346,205.14
347,204.04
348,204.34
349,203.85
350,202.72
351,203.33
352,204.21
353,205.37
354,197.25
355,197.56
356,197.38
357,198.87
358,200.63
359,200.19
360,207.49
361,209.09
362,218.45
363,217.18
364,212.23
365,210.07
366,212.53
367,211.34
368,210.42
369,206.83
370,181.40
371,180.81
372,175.18
373,174.00
374,177.07
375,149.18
376,130.34
377,136.70
378,126.71
379,123.30
380,113.49
381,116.45
382,108.33
383,110.01
384,122.44
385,117.54
386,113.17
387,118.64
388,116.39
389,108.93
390,110.21
391,102.48
392,91.76
393,93.29
394,92.16
395,95.14
396,91.69
397,88.95
398,90.59
399,86.54
400,84.31
401,84.44
402,85.26
403,95.13
404,101.11
405,101.27
406,116.22
407,109.50
408,116.76
409,130.77
410,140.24
411,129.84
412,131.87
413,116.58
414,137.65
415,138.02
416,139.86
417,133.37
418,140.82
419,155.05
420,149.14
421,154.58
422,155.64
423,157.75
424,151.70
425,150.36
426,150.80
427,128.63
428,127.55
429,125.97
430,116.90
431,129.07
432,122.03
433,123.55
434,123.74
435,121.01
436,124.52
437,119.47
438,117.16
439,118.75
440,117.45
441,117.36
442,116.38
443,116.49
444,113.41
445,106.59
446,105.60
447,108.91
448,107.06
449,107.61
450,110.43
451,107.49
452,107.82
453,107.44
454,104.92
455,104.54
456,119.27
457,119.43
458,124.81
459,121.30
460,122.57
461,122.55
462,121.39
463,122.10
464,123.26
465,133.60
466,146.10
467,145.35
468,149.55
469,146.13
470,149.09
471,158.80
472,135.85
473,139.82
474,138.09
475,136.13
476,136.75
477,136.44
478,134.21
479,132.25
480,127.77
481,137.82
482,138.79
483,138.03
484,135.13
485,137.97
486,136.76
487,133.83
488,134.44
489,133.26
490,133.71
491,137.69
492,142.40
493,140.00
494,139.37
495,140.52
496,140.69
497,136.64
498,137.18
499,138.24
500,136.99
501,135.03
502,135.46
503,140.99
504,139.42
505,142.50
506,142.09
507,141.51
508,141.83
509,163.96
510,161.46
511,158.05
512,165.51
513,165.95
514,174.53
515,180.26
516,176.11
517,177.34
518,165.50
519,164.74
520,164.51
521,167.84
522,161.57
523,167.62
524,166.95
525,173.81
526,173.71
527,173.75
528,170.05
529,171.87
530,171.45
531,165.83
532,154.46
533,156.35
534,158.43
535,157.30
536,155.20
537,162.17
538,160.82
539,162.12
540,167.95
541,164.03
542,163.45
543,172.65
544,169.80
545,170.95
546,170.29
547,173.14
548,194.30
549,187.33
550,196.85
551,217.15
552,247.15
553,264.01
554,243.76
555,234.60
556,261.29
557,251.86
558,255.22
559,244.70
560,245.97
561,249.48
562,251.76
563,267.07
564,272.86
565,271.77
566,269.46
567,255.86
568,268.11
569,265.39
570,270.23
571,252.61
572,241.34
573,247.05
574,249.47
575,250.93
576,245.74
577,233.09
578,247.52
579,245.78
580,260.90
581,256.17
582,264.09
583,269.02
584,269.22
585,274.35
586,265.05
587,269.43
588,271.70
589,294.91
590,309.38
591,307.83
592,310.42
593,318.13
594,336.75
595,294.27
596,311.23
597,320.06
598,290.70
599,293.64
600,291.60
601,303.10
602,284.52
