Date,Close
20171109,320.884003
20171110,299.252991
20171111,314.681
20171112,307.90799
20171113,316.716003
20171114,337.631012
20171115,333.356995
20171116,330.924011
20171117,332.394012
20171118,347.612
20171119,354.385986
20171120,366.730011
20171121,360.401001
20171122,380.652008
20171123,410.165985
20171124,474.911011
20171125,466.276001
20171126,471.329987
20171127,480.355011
20171128,472.902008
20171129,427.52301
20171130,447.114014
20171201,466.540009
20171202,463.449005
20171203,465.852997
20171204,470.20401
20171205,463.281006
20171206,428.588013
20171207,434.40799
20171208,456.031006
20171209,473.502014
20171210,441.721008
20171211,515.135986
20171212,651.43103
20171213,702.767029
20171214,695.815979
20171215,684.447998
20171216,696.208984
20171217,719.974976
20171218,794.64502
20171219,826.822998
20171220,819.085999
20171221,821.062988
20171222,674.859985
20171223,719.387024
20171224,694.14801
20171225,765.833984
20171226,773.835999
20171227,762.84198
20171228,737.02301
20171229,753.59198
20171230,717.257019
20171231,756.732971
20180101,772.640991
20180102,884.44397
20180103,962.719971
20180104,980.921997
20180105,997.719971
20180106,1041.680054
20180107,1153.170044
20180108,1148.530029
20180109,1299.73999
20180110,1255.819946
20180111,1154.930054
20180112,1273.199951
20180113,1396.420044
20180114,1366.77002
20180115,1291.920044
20180116,1053.689941
20180117,1014.25
20180118,1036.280029
20180119,1039.099976
20180120,1155.150024
20180121,1049.579956
20180122,1003.26001
20180123,986.229004
20180124,1058.780029
20180125,1056.030029
20180126,1055.170044
20180127,1107.069946
20180128,1246.01001
20180129,1182.359985
20180130,1071.130005
20180131,1118.310059
20180201,1036.790039
20180202,915.784973
20180203,964.018982
20180204,834.682007
20180205,697.950989
20180206,793.122009
20180207,757.067993
20180208,817.807007
20180209,883.86499
20180210,860.414978
20180211,814.659973
20180212,868.70697
20180213,845.257996
20180214,923.560974
20180215,936.976013
20180216,944.210022
20180217,974.11499
20180218,923.921021
20180219,943.86499
20180220,895.370972
20180221,849.971008
20180222,812.844971
20180223,864.189026
20180224,840.515015
20180225,844.809998
20180226,869.315002
20180227,878.265015
20180228,855.198975
20180301,872.200012
20180302,856.853027
20180303,857.224976
20180304,866.677979
20180305,853.684021
20180306,816.950989
20180307,752.830994
20180308,704.596008
20180309,728.916016
20180310,686.890015
20180311,723.338989
20180312,699.830994
20180313,690.827026
20180314,614.291016
20180315,611.304016
20180316,601.666016
20180317,552.778992
20180318,538.643982
20180319,556.726013
20180320,557.174988
20180321,561.731995
20180322,539.702026
20180323,539.619019
20180324,526.439026
20180325,524.286987
20180326,489.950989
20180327,450.115997
20180328,446.278992
20180329,385.967987
20180330,394.644989
20180331,396.457001
20180401,379.606995
20180402,386.424988
20180403,416.893005
20180404,380.542999
20180405,383.231995
20180406,370.285004
20180407,385.313995
20180408,400.507996
20180409,398.526001
20180410,414.243011
20180411,430.540009
20180412,492.94101
20180413,492.734985
20180414,501.477997
20180415,531.702026
20180416,511.147003
20180417,502.894012
20180418,524.789001
20180419,567.888977
20180420,615.718018
20180421,605.39502
20180422,621.859985
20180423,642.547974
20180424,708.15802
20180425,615.416016
20180426,662.809021
20180427,647.031982
20180428,683.677979
20180429,688.880981
20180430,669.924011
20180501,673.612976
20180502,687.148987
20180503,779.54303
20180504,785.624023
20180505,816.119995
20180506,792.310974
20180507,753.724976
20180508,752.856995
20180509,752.275024
20180510,727.276978
20180511,679.585999
20180512,686.047974
20180513,733.495972
20180514,730.549011
20180515,708.870972
20180516,707.049988
20180517,672.656982
20180518,694.367004
20180519,696.530029
20180520,715.369019
20180521,699.221985
20180522,647.741028
20180523,583.585022
20180524,601.755005
20180525,586.734009
20180526,587.280029
20180527,572.66803
20180528,516.036011
20180529,565.388
20180530,559.590027
20180531,577.64502
20180601,580.04303
20180602,591.807983
20180603,618.328979
20180604,592.984985
20180605,609.302979
20180606,607.124023
20180607,605.187012
20180608,601.077026
20180609,597.562012
20180610,526.479004
20180611,533.283997
20180612,496.842987
20180613,477.493988
20180614,519.742004
20180615,491.003998
20180616,499.641998
20180617,500.447998
20180618,518.890991
20180619,537.95697
20180620,536.268005
20180621,527.367004
20180622,465.816986
20180623,474.519989
20180624,457.671997
20180625,460.309998
20180626,432.772003
20180627,442.36499
20180628,422.36499
20180629,436.009003
20180630,455.179993
20180701,453.917999
20180702,475.346985
20180703,464.195007
20180704,467.317993
20180705,474.411987
20180706,474.011993
20180707,491.660004
20180708,489.118988
20180709,476.682007
20180710,434.424011
20180711,446.518005
20180712,430.074005
20180713,434.027008
20180714,436.085999
20180715,449.850006
20180716,480.65799
20180717,501.002014
20180718,480.513
20180719,469.618988
20180720,450.697998
20180721,462.436005
20180722,459.657013
20180723,450.852997
20180724,479.372986
20180725,472.493011
20180726,464.036987
20180727,469.665985
20180728,466.89801
20180729,466.665009
20180730,457.080994
20180731,433.867004
20180801,420.747009
20180802,412.621002
20180803,418.261993
20180804,407.252014
20180805,410.515991
20180806,406.65799
20180807,380.214996
20180808,356.613007
20180809,365.588013
20180810,334.175995
20180811,322.112
20180812,319.570007
20180813,286.494995
20180814,278.932007
20180815,282.364014
20180816,288.04599
20180817,315.729004
20180818,295.812012
20180819,300.834015
20180820,274.315002
20180821,281.944
20180822,271.341003
20180823,277.104004
20180824,282.96701
20180825,279.645996
20180826,275.196991
20180827,285.602997
20180828,296.498993
20180829,289.312012
20180830,284.105011
20180831,283.003998
20180901,295.341003
20180902,294.371002
20180903,289.259003
20180904,285.722992
20180905,232.330994
20180906,230.214996
20180907,217.203003
20180908,197.951004
20180909,196.923996
20180910,197.078995
20180911,185.065994
20180912,183.330994
20180913,211.354004
20180914,211.748993
20180915,223.074005
20180916,220.589005
20180917,197.875
20180918,209.975006
20180919,209.968994
20180920,224.591003
20180921,246.584
20180922,240.479996
20180923,244.330002
20180924,228.729996
20180925,218.505005
20180926,215.847
20180927,228.494003
20180928,222.401993
20180929,231.634995
20180930,232.848007
20181001,230.768005
20181002,227.181
20181003,220.488998
20181004,222.218002
20181005,227.600998
20181006,225.119995
20181007,226.119003
20181008,229.255005
20181009,227.981995
20181010,225.768997
20181011,189.498993
20181012,196.727005
20181013,199.841003
20181014,195.714996
20181015,209.703995
20181016,210.119995
20181017,207.082993
20181018,203.352005
20181019,203.727005
20181020,205.429993
20181021,205.141998
20181022,204.044006
20181023,204.335999
20181024,203.852005
20181025,202.718994
20181026,203.328995
20181027,204.210007
20181028,205.365997
20181029,197.246994
20181030,197.556
20181031,197.380997
20181101,198.871994
20181102,200.634995
20181103,200.186005
20181104,207.485992
20181105,209.091003
20181106,218.451996
20181107,217.182999
20181108,212.231003
20181109,210.074005
20181110,212.533005
20181111,211.339996
20181112,210.417999
20181113,206.826004
20181114,181.397003
20181115,180.806
20181116,175.177002
20181117,174.001007
20181118,177.067001
20181119,149.175003
20181120,130.339005
20181121,136.701004
20181122,126.706001
20181123,123.295998
20181124,113.494003
20181125,116.449997
20181126,108.334999
20181127,110.010002
20181128,122.438004
20181129,117.542648
20181130,113.171417
20181201,118.635559
20181202,116.388901
20181203,108.925018
20181204,110.214188
20181205,102.475555
20181206,91.761055
20181207,93.294563
20181208,92.159637
20181209,95.142059
20181210,91.685654
20181211,88.945305
20181212,90.5933
20181213,86.539314
20181214,84.308296
20181215,84.440811
20181216,85.2621
20181217,95.133827
20181218,101.112457
20181219,101.268578
20181220,116.216873
20181221,109.496231
20181222,116.759499
20181223,130.765259
20181224,140.238007
20181225,129.844345
20181226,131.865631
20181227,116.575912
20181228,137.647018
20181229,138.018341
20181230,139.859451
20181231,133.368256
20190101,140.819412
20190102,155.047684
20190103,149.13501
20190104,154.58194
20190105,155.638596
20190106,157.746201
20190107,151.699219
20190108,150.359634
20190109,150.803116
20190110,128.625183
20190111,127.548325
20190112,125.96653
20190113,116.897804
20190114,129.068726
20190115,122.032715
20190116,123.547066
20190117,123.74192
20190118,121.010262
20190119,124.51902
20190120,119.474831
20190121,117.157852
20190122,118.747551
20190123,117.452606
20190124,117.362885
20190125,116.378342
20190126,116.488739
20190127,113.405289
20190128,106.589973
20190129,105.598213
20190130,108.907539
20190131,107.061012
20190201,107.609787
20190202,110.43026
20190203,107.492668
20190204,107.821602
20190205,107.44352
20190206,104.919289
20190207,104.535301
20190208,119.267746
20190209,119.430885
20190210,124.806488
20190211,121.298393
20190212,122.572289
20190213,122.553604
20190214,121.390205
20190215,122.100388
20190216,123.260216
20190217,133.598877
20190218,146.098373
20190219,145.346191
20190220,149.554337
20190221,146.130844
20190222,149.092453
20190223,158.795425
20190224,135.852661
20190225,139.822861
20190226,138.089676
20190227,136.125961
20190228,136.746246
20190301,136.443619
20190302,134.206955
20190303,132.24942
20190304,127.774124
20190305,137.822388
20190306,138.789352
20190307,138.0345
20190308,135.127075
20190309,137.965332
20190310,136.758682
20190311,133.83403
20190312,134.442886
20190313,133.263077
20190314,133.711594
20190315,137.691788
20190316,142.398178
20190317,140.000549
20190318,139.374603
20190319,140.519196
20190320,140.686356
20190321,136.636063
20190322,137.181442
20190323,138.239868
20190324,136.986923
20190325,135.031021
20190326,135.460358
20190327,140.988159
20190328,139.416473
20190329,142.497421
20190330,142.092682
20190331,141.514099
20190401,141.830322
20190402,163.961746
20190403,161.458801
20190404,158.052536
20190405,165.514847
